     ID	    sex	    age	  trial	     CP	    TAC	  dMean	 cTrial	       	   perf	   boat
    102       M      99       1       1       1  2.9435       0       0       0       1
    102       M      99       2       0       2  2.9435       0 1.000000e-01 1.000000e-01       1
    102       M      99       3       0       3  2.9435       0 2.000000e-01 1.000000e-01       1
    102       M      99       4       0       4  2.9435       0 3.000000e-01 1.000000e-01       1
    102       M      99       5       1       1  5.6372       0 3.000000e-01       0       1
    102       M      99       6       0       2  5.6372       0 3.500000e-01 5.000000e-02       2
    102       M      99       7       0       3  5.6372       1 3.500000e-01       0       1
    102       M      99       8       0       4  5.6372       0 3.500000e-01       0       3
    102       M      99       9       1       1  4.8835       0 3.500000e-01       0       3
    102       M      99      10       0       2  4.8835       0 3.500000e-01       0       1
